# Event 'cpu-clock'
#
# Baseline           Ratio  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Shared Object              
# ........  ..............  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ...........................
#
     3.34%        1.017751  [.] ceres::internal::BlockEvaluatePreparer::Prepare(ceres::internal::ResidualBlock const*, int, ceres::internal::SparseMatrix*, double**)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      pose_graph_2d              
     0.68%        1.017544  [.] bool ceres::examples::PoseGraph2dErrorTerm::operator()<double>(double const*, double const*, double const*, double const*, double const*, double const*, double*) const [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    pose_graph_2d              
     0.28%        1.013889  [.] void Eigen::internal::minimum_degree_ordering<int, int>(Eigen::SparseMatrix<int, 0, int>&, Eigen::PermutationMatrix<-1, -1, int>&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         pose_graph_2d              
     1.79%        1.002203  [.] Eigen::internal::sparse_solve_triangular_selector<Eigen::Transpose<Eigen::SparseMatrix<double, 0, int> const> const, Eigen::Map<Eigen::Matrix<double, -1, 1, 0, -1, 1>, 0, Eigen::Stride<0, 0> >, 6, 2, 1>::run(Eigen::Transpose<Eigen::SparseMatrix<double, 0, int> const> const&, Eigen::Map<Eigen::Matrix<double, -1, 1, 0, -1, 1>, 0, Eigen::Stride<0, 0> >&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          pose_graph_2d              
     0.13%        1.000000  [.] Eigen::SparseMatrix<int, 0, int>& Eigen::SparseMatrix<int, 0, int>::operator=<Eigen::SparseMatrix<int, 1, int> >(Eigen::SparseMatrixBase<Eigen::SparseMatrix<int, 1, int> > const&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        pose_graph_2d              
     0.13%        1.000000  [.] ceres::internal::BlockJacobianWriter::CreateJacobian() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               pose_graph_2d              
     0.13%        1.000000  [.] ceres::internal::ResidualBlock::NumScratchDoublesForEvaluate() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       pose_graph_2d              
     0.08%        1.000000  [.] ceres::internal::Program::CreateJacobianBlockSparsityTranspose(int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  pose_graph_2d              
     0.07%        1.000000  [.] std::istream::sentry::sentry(std::istream&, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          libstdc++.so.6.0.30        
     0.04%        1.000000  [.] std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >::swap(std::__cxx11::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >&)@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              libstdc++.so.6.0.30        
     0.04%        1.000000  [.] ceres::internal::InnerProductComputer::ComputeOffsetsAndCreateResultMatrix(ceres::internal::CompressedRowSparseMatrix::StorageType, std::vector<ceres::internal::InnerProductComputer::ProductTerm, std::allocator<ceres::internal::InnerProductComputer::ProductTerm> > const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           pose_graph_2d              
     0.02%        1.000000  [.] Eigen::SparseMatrix<int, 1, int>& Eigen::SparseMatrix<int, 1, int>::operator=<Eigen::SparseMatrix<int, 0, int> >(Eigen::SparseMatrixBase<Eigen::SparseMatrix<int, 0, int> > const&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        pose_graph_2d              
     0.02%        1.000000  [.] ceres::internal::Program::MaxParametersPerResidualBlock() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            pose_graph_2d              
     0.02%        1.000000  [.] void std::__convert_to_v<double>(char const*, double&, std::_Ios_Iostate&, __locale_struct* const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        libstdc++.so.6.0.30        
     0.02%        1.000000  [.] std::__throw_system_error(int)@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         pose_graph_2d              
     0.02%        1.000000  [.] std::vector<ceres::internal::Block, std::allocator<ceres::internal::Block> >::operator=(std::vector<ceres::internal::Block, std::allocator<ceres::internal::Block> > const&) [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               pose_graph_2d              
     0.01%        1.000000  [.] ceres::internal::Program::ParameterBlocksAreFinite(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 pose_graph_2d              
     0.01%        1.000000  [k] lock_vma_under_rcu                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [kernel.kallsyms]          
     0.01%        1.000000  [.] operator delete(void*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      libstdc++.so.6.0.30        
     0.01%        1.000000  [.] std::__detail::_MakeUniq<ceres::internal::ProgramEvaluator<ceres::internal::BlockEvaluatePreparer, ceres::internal::BlockJacobianWriter, ceres::internal::NullJacobianFinalizer> >::__single_object std::make_unique<ceres::internal::ProgramEvaluator<ceres::internal::BlockEvaluatePreparer, ceres::internal::BlockJacobianWriter, ceres::internal::NullJacobianFinalizer>, ceres::internal::Evaluator::Options const&, ceres::internal::Program*&>(ceres::internal::Evaluator::Options const&, ceres::internal::Program*&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              pose_graph_2d              
     0.01%        1.000000  [.] __uselocale                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                libc.so.6                  
     0.01%        1.000000  [.] memcmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     libc.so.6                  
     0.01%        1.000000  [k] release_pages                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms]          
     0.01%        1.000000  [.] std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     libstdc++.so.6.0.30        
     0.01%        1.000000  [.] std::ios_base::failure::~failure()@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     libstdc++.so.6.0.30        
     0.01%        1.000000  [.] std::locale::locale(std::locale const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    libstdc++.so.6.0.30        
     0.01%        1.000000  [.] std::string::_Rep::_S_create(unsigned long, unsigned long, std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    libstdc++.so.6.0.30        
     0.01%        1.000000  [.] strchrnul                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  libc.so.6                  
     0.01%        1.000000  [k] vma_alloc_folio                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms]          
     0.00%        1.000000  [k] __mod_node_page_state                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms]          
     0.00%        1.000000  [.] absl::lts_20250127::container_internal::btree<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >::erase_range(absl::lts_20250127::container_internal::btree_iterator<absl::lts_20250127::container_internal::btree_node<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >, std::pair<double* const, ceres::internal::ParameterBlock*>&, std::pair<double* const, ceres::internal::ParameterBlock*>*>, absl::lts_20250127::container_internal::btree_iterator<absl::lts_20250127::container_internal::btree_node<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >, std::pair<double* const, ceres::internal::ParameterBlock*>&, std::pair<double* const, ceres::internal::ParameterBlock*>*>)                                                                              pose_graph_2d              
     0.00%        1.000000  [.] absl::lts_20250127::container_internal::btree<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >::rebalance_after_delete(absl::lts_20250127::container_internal::btree_iterator<absl::lts_20250127::container_internal::btree_node<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >, std::pair<double* const, ceres::internal::ParameterBlock*>&, std::pair<double* const, ceres::internal::ParameterBlock*>*>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      pose_graph_2d              
     0.00%        1.000000  [.] absl::lts_20250127::container_internal::btree<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >::rebalance_or_split(absl::lts_20250127::container_internal::btree_iterator<absl::lts_20250127::container_internal::btree_node<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >, std::pair<double* const, ceres::internal::ParameterBlock*>&, std::pair<double* const, ceres::internal::ParameterBlock*>*>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         pose_graph_2d              
     0.00%        1.000000  [.] absl::lts_20250127::time_internal::cctz::detail::impl::n_sec(long, long, long, long, long, long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           pose_graph_2d              
     0.00%        1.000000  [k] cap_vm_enough_memory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms]          
     0.00%        1.000000  [.] ceres::examples::(anonymous namespace)::OutputPoses(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::map<int, ceres::examples::Pose2d, std::less<int>, std::allocator<std::pair<int const, ceres::examples::Pose2d> > > const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                pose_graph_2d              
